system_id,sentence,artDate,artTitle,class,sentimentValue
16.0,原文內容,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.25638894091173414
16.0,國道電動車充電站第三期準備招標個服務區蓋座快充站，最低功率起跳,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.00043778896903767794
16.0,國道電動車充電站準備第三期招標，共計個服務區要蓋座快充站，充電設備功率,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.000624037660391652
16.0,標案預計今年三月份招標，九月前完成評選，預計年,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.0009861716566043066
16.0,第期由中興電工得標，與合作經營東山清水湖口南北共四,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.0020492883924562166
16.0,站個充電車位,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.25496667751612245
16.0,國道上服務中的充電車位共計個,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.25542288041392347
16.0,月決標，由中興電工連莊，現已進入建置階段，今年底之前會啟用,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.18164169336835667
16.0,最後波的第三期標案預計三月進入招標階段，將餘下的所有服務區納入，連興建中的新,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.0012551095744779417
16.0,營服務區與東草屯休息站也涵蓋在內，總計國道號三號五號六號共個服務區,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.03048415540428373
16.0,在招標說明會前夕，高公局也已針對當中七個服務區列出充電站建議設置位置，可見以下,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.0009427636386445393
16.0,根據招標說明書，第三期國道快充站看來是有要求充電設備最低功率為，這點比,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.026345049474075122
16.0,國道充電站收費標準不得高於,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.004009419780135359
16.0,服務區以外地區的充電費率，充電設備至少要有支，其他規格由業者依市場判斷,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.12177070198382334
16.0,，以及充好不走可收佔用費等，這些規則都繼續存在,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.05347609230139383
16.0,充電樁設置規格充電設備最低輸出功率需為以上充電樁，充電設備至少座規,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.2444275030860793
16.0,"格充電樁，依市場需求增設其他規格如或,視實際服務需求提昇充電",2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.0010873093630551223
16.0,設備輸出功率,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.19761426802805315
16.0,充電樁充電時間為促進服務區充電車位使用周轉率，充電樁提供電動車輛充電服務時間,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.002214972009225491
16.0,，以不超過小時為原則,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.03866781720678114
16.0,最後還有點，是第三期標案站數眾多，因此高公局是採取個標案由二業者分配的做法,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.18311345673211477
16.0,則是拿到石碇西螺古坑新營服務區,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.2190844518044781
16.0,也就是說，第三期國道快充站不管怎麼標，最,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.16212978301814274
16.0,心得說明字以上,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.18279813961255864
16.0,今年底之前會再啟用站個充電車位,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.03810818130741245
16.0,而即將於三月招標的第三期標案,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.003790365238395599
16.0,將會有站，預計~個充電車位,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.025633613439648317
16.0,國道休息站上個廁所分鐘,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.052518959265296816
16.0,期間補進所需電量不是問題,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.0015837766355343286
16.0,只有少數小電池的都會車款無法達標,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.036901449525112096
16.0,每度電享有元優惠直到,2023-01-06,[新聞]國道電動車充電站第三期準備招標：8個服,服務方面,0.26881124490916064
208.0,先前有訂,2023-03-06,[電車]特斯拉的停車輔助要加回來？,服務方面,0.2749904172358232
208.0,本來月收到說月中交車已降價，因故我想順延到下個季度再交車,2023-03-06,[電車]特斯拉的停車輔助要加回來？,服務方面,0.011172124540087647
208.0,剛剛收到電話說特斯拉打算月底把停車輔助加回去，問我有沒有意願在這批交車,2023-03-06,[電車]特斯拉的停車輔助要加回來？,服務方面,0.000502904417742922
208.0,沒有說明是硬體還是軟體方案,2023-03-06,[電車]特斯拉的停車輔助要加回來？,服務方面,0.0009592790328316614
208.0,在想是不是最近太多人順延了，所以才會有這樣主動的意願徵詢,2023-03-06,[電車]特斯拉的停車輔助要加回來？,服務方面,0.002950788427082629
208.0,猜測停車輔助與降價還是有影響交車情況,2023-03-06,[電車]特斯拉的停車輔助要加回來？,服務方面,0.2516904199060743
208.0,有人有收到這個訊息嗎,2023-03-06,[電車]特斯拉的停車輔助要加回來？,服務方面,0.016645170719976732
240.0,原文內容,2023-03-15,[新聞]電子廠商爭先搶入電動車，索尼、鴻海、,服務方面,0.25638894091173414
240.0,它已經建立了從設計到測試以及製造的各個方面的電動車能力，並聲稱到年它將生產全球的電動車,2023-03-15,[新聞]電子廠商爭先搶入電動車，索尼、鴻海、,服務方面,0.0025065328561815203
240.0,其中，入門級車型可能採用伏特充電架構，使用的磷酸鐵鋰電池，而高階車型可獲得伏特平台，配備感測器和輝達的運算晶片，並為未來自動駕駛做準備,2023-03-15,[新聞]電子廠商爭先搶入電動車，索尼、鴻海、,服務方面,0.01153045886516002
240.0,雖然有關其電動車的資訊仍舊很少，但蘋果公司卻已經宣布其下代將能夠更像作業系統樣工作，並接管儀表板以及對座椅加熱和空調等功能進行控制,2023-03-15,[新聞]電子廠商爭先搶入電動車，索尼、鴻海、,服務方面,0.03908975918098234
240.0,心得說明字以上,2023-03-15,[新聞]電子廠商爭先搶入電動車，索尼、鴻海、,服務方面,0.18279813961255864
240.0,心得或意見字不含標點符號,2023-03-15,[新聞]電子廠商爭先搶入電動車，索尼、鴻海、,服務方面,0.1421413874303683
386.0,生死瞬間的慶幸卻造成全家人的恐懼,2023-04-28,[新聞]230萬「天坑特斯拉」報廢　建商只丟1句話,服務方面,0.2002090203643897
386.0,昨晚靠著藥物才能入睡，更慘的是,2023-04-28,[新聞]230萬「天坑特斯拉」報廢　建商只丟1句話,服務方面,0.07641014586281814
386.0,萬的新車根本沒辦法修，只能報廢,2023-04-28,[新聞]230萬「天坑特斯拉」報廢　建商只丟1句話,服務方面,0.15489198500792734
386.0,給對方，但對方只留下我們會再聯繫你就沒了，他連對方是誰之後對口要找誰電,2023-04-28,[新聞]230萬「天坑特斯拉」報廢　建商只丟1句話,服務方面,0.0014688872576061884
386.0,另方面，吊車業者昨天將掉入天坑的特斯拉吊回台北，特斯拉總公司回復車輛已經報,2023-04-28,[新聞]230萬「天坑特斯拉」報廢　建商只丟1句話,服務方面,0.054222356155032236
386.0,廢，根本連修都沒辦法修，萬的新車只開了個多月，雖然有理賠，但是車子包膜,2023-04-28,[新聞]230萬「天坑特斯拉」報廢　建商只丟1句話,服務方面,0.007550236424542334
386.0,貼隔熱紙等多萬的費用全都無法理賠,2023-04-28,[新聞]230萬「天坑特斯拉」報廢　建商只丟1句話,服務方面,0.01938478470389604
386.0,天坑吞特斯拉已經造成全家人,2023-04-28,[新聞]230萬「天坑特斯拉」報廢　建商只丟1句話,服務方面,0.026915349446916093
386.0,的陰影，讓他憂鬱症恐慌症發作，昨晚靠著藥物才能入睡,2023-04-28,[新聞]230萬「天坑特斯拉」報廢　建商只丟1句話,服務方面,0.016853682417694582
386.0,不論是建設公司縣政府市公所以及各民意代表,2023-04-28,[新聞]230萬「天坑特斯拉」報廢　建商只丟1句話,服務方面,0.1703461597248337
386.0,只是擺拍，罵些無關痛癢卻沒有實質建設的口水，對於車主受災住戶，沒有點實質,2023-04-28,[新聞]230萬「天坑特斯拉」報廢　建商只丟1句話,服務方面,0.2705757303006371
386.0,到底誰才是權責單位,2023-04-28,[新聞]230萬「天坑特斯拉」報廢　建商只丟1句話,服務方面,0.25728879109976466
386.0,時間車主全都要自己吞，昨天都靠搭乘，之後可能要先租車渡過,2023-04-28,[新聞]230萬「天坑特斯拉」報廢　建商只丟1句話,服務方面,0.03784230902612884
386.0,賠償包膜隔熱紙等財損，甚至還要主張精神賠償,2023-04-28,[新聞]230萬「天坑特斯拉」報廢　建商只丟1句話,服務方面,0.1452307873299018
386.0,最後，他不滿的說這麼多的民意代表到現場，代表議員甚至立委助理，每個都臉書,2023-04-28,[新聞]230萬「天坑特斯拉」報廢　建商只丟1句話,服務方面,0.01919503998526606
386.0,社群發布，好像很關心這個事情，但是無論是現場居民安全問題，還是車主受害方，好像,2023-04-28,[新聞]230萬「天坑特斯拉」報廢　建商只丟1句話,服務方面,0.05187247517604454
